procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 2302328 129132 1006200    0    0  1028   259  305  763 29 25 43  3  0
 1  0      0 2302348 129132 1006188    0    0     0     0  204  323 32 13 55  0  0
 0  0      0 2302348 129132 1006188    0    0     0     0  238  495 35 19 46  0  0
 0  0      0 2302348 129140 1006188    0    0     0    24  250  576 42 17 40  1  0
 1  0      0 2302224 129140 1006188    0    0     0     0  230  352 37 20 43  0  0
 0  0      0 2302224 129140 1006188    0    0     0     0  164  263 22 11 67  0  0
 0  0      0 2302224 129140 1006188    0    0     0     0  182  283 31 15 54  0  0
 1  0      0 2302100 129140 1006188    0    0     0     0  193  407 35 11 53  0  0
 0  0      0 2302100 129140 1006188    0    0     0     0  191  408 24 15 61  0  0
 1  0      0 2302100 129148 1006188    0    0     0    12  199  424 24 22 54  0  0
 3  0      0 2302100 129148 1006188    0    0     0     0  185  432 22 15 63  0  0
 0  0      0 2302100 129148 1006188    0    0     0     0  243  456 40 16 44  0  0
 1  0      0 2302100 129148 1006188    0    0     0     0  183  351  9 14 77  0  0
 1  0      0 2302100 129148 1006188    0    0     0     0  226  360 15 25 60  0  0
 0  0      0 2302100 129148 1006188    0    0     0     0  302  883 23 28 49  0  0
 2  0      0 2302100 129156 1006188    0    0     0    12  252 1012 24 23 53  0  0
 1  0      0 2302100 129156 1006188    0    0     0     0  191  411 18 17 65  0  0
 2  0      0 2301976 129156 1006188    0    0     0     0  245  610 38 24 38  0  0
 0  0      0 2301976 129156 1006188    0    0     0     0  176  441 17 19 64  0  0
 3  0      0 2297876 129156 1006188    0    0     0     0  194  444 13 18 69  0  0
 3  0      0 2247764 129164 1006184    0    0     0    68  423 1116 88 12  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 2195188 129164 1006188    0    0     0     0  382  770 89 11  0  0  0
 1  0      0 2114836 129164 1006188    0    0     0     0  396  501 94  6  0  0  0
 1  0      0 2067220 129164 1006188    0    0     0     0  365  459 90 10  0  0  0
 2  0      0 2016132 129164 1006776    0    0   588     0  312  357 75 22  0  3  0
 1  0      0 1984760 129172 1007152    0    0   376    72  329  397 87 11  0  2  0
 1  0      0 1982156 129172 1007220    0    0    68     4  315  339 93  7  0  0  0
 1  0      0 1979056 129172 1007220    0    0     0     0  325  396 94  6  0  0  0
 1  0      0 1966160 129172 1007220    0    0     0     0  327  375 93  7  0  0  0
 2  0      0 1957852 129172 1009572    0    0  2416     0  324  420 70 24  0  6  0
 2  1      0 1953256 129180 1011832    0    0  2016    16  359  554 82 17  0  1  0
 3  0      0 1948296 129180 1012156    0    0   256     4  389  708 89 11  0  0  0
 3  0      0 1943212 129180 1012472    0    0   152     0  351  638 93  7  0  0  0
 1  0      0 1938624 129180 1012624    0    0     0     0  351  500 92  8  0  0  0
 2  0      0 1933912 129180 1012744    0    0     0     0  358  703 92  8  0  0  0
 3  1      0 1927960 129188 1012872    0    0     0    24  347  568 90 10  0  0  0
